"filename", "language", "JavaScript", "HTML", "CSS", "PHP", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\shopping\Assets\Img\ripple_loding.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 10
"c:\xampp\htdocs\shopping\Components\Input.js", "JavaScript", 32, 0, 0, 0, 0, 0, 1, 33
"c:\xampp\htdocs\shopping\Components\LoadingLayer.js", "JavaScript", 15, 0, 0, 0, 0, 0, 2, 17
"c:\xampp\htdocs\shopping\Components\NavBar.js", "JavaScript", 127, 0, 0, 0, 0, 0, 18, 145
"c:\xampp\htdocs\shopping\Components\RatingStart.js", "JavaScript", 14, 0, 0, 0, 0, 7, 3, 24
"c:\xampp\htdocs\shopping\Components\ToggleElement.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 10
"c:\xampp\htdocs\shopping\Components\customQuery.js", "JavaScript", 12, 0, 0, 0, 0, 0, 2, 14
"c:\xampp\htdocs\shopping\Components\handleBrands.js", "JavaScript", 27, 0, 0, 0, 0, 0, 1, 28
"c:\xampp\htdocs\shopping\Components\handleCategory.js", "JavaScript", 23, 0, 0, 0, 0, 0, 3, 26
"c:\xampp\htdocs\shopping\Components\handleOrders.js", "JavaScript", 58, 0, 0, 0, 0, 0, 1, 59
"c:\xampp\htdocs\shopping\Components\handleProduct.js", "JavaScript", 23, 0, 0, 0, 0, 0, 3, 26
"c:\xampp\htdocs\shopping\Components\productDisplayHandler.js", "JavaScript", 148, 0, 0, 0, 0, 0, 17, 165
"c:\xampp\htdocs\shopping\Experimental\index.html", "HTML", 0, 50, 0, 0, 0, 0, 1, 51
"c:\xampp\htdocs\shopping\Experimental\style.css", "CSS", 0, 0, 12, 0, 0, 0, 1, 13
"c:\xampp\htdocs\shopping\Experimental\test.html", "HTML", 0, 1137, 0, 0, 0, 0, 15, 1152
"c:\xampp\htdocs\shopping\Screens\Cart.js", "JavaScript", 130, 0, 0, 0, 0, 0, 11, 141
"c:\xampp\htdocs\shopping\Screens\Console.js", "JavaScript", 140, 0, 0, 0, 0, 516, 27, 683
"c:\xampp\htdocs\shopping\Screens\Intro.js", "JavaScript", 300, 0, 0, 0, 0, 5, 7, 312
"c:\xampp\htdocs\shopping\Screens\Login.js", "JavaScript", 120, 0, 0, 0, 0, 5, 19, 144
"c:\xampp\htdocs\shopping\Screens\ProductDetail.js", "JavaScript", 117, 0, 0, 0, 0, 0, 20, 137
"c:\xampp\htdocs\shopping\Screens\ProductDisplay.js", "JavaScript", 220, 0, 0, 0, 0, 1, 24, 245
"c:\xampp\htdocs\shopping\Screens\Register.js", "JavaScript", 90, 0, 0, 0, 0, 3, 23, 116
"c:\xampp\htdocs\shopping\Screens\User.js", "JavaScript", 87, 0, 0, 0, 0, 0, 12, 99
"c:\xampp\htdocs\shopping\action.php", "PHP", 0, 0, 0, 158, 0, 0, 13, 171
"c:\xampp\htdocs\shopping\firebaseConfig.js", "JavaScript", 20, 0, 0, 0, 0, 6, 4, 30
"c:\xampp\htdocs\shopping\index.css", "CSS", 0, 0, 1034, 0, 0, 14, 11, 1059
"c:\xampp\htdocs\shopping\index.html", "HTML", 0, 53, 0, 0, 0, 9, 1, 63
"c:\xampp\htdocs\shopping\navigator.js", "JavaScript", 70, 0, 0, 0, 0, 25, 17, 112
"Total", "-", 1781, 1240, 1046, 158, 10, 591, 259, 5085